gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
VWA7,0.000197482103184399,0.5,2.02029242466504e-08,4,0.867,4
VWA8,0.0164897556158973,0.251209293125461,0.00016055188785952,127,1.15,54
VWA9,0.00473957047642557,0.149342105263158,3.06317836216741e-05,68,0.821,31
VWC2,0.00301160207356208,0.167213114754098,1.53079899555391e-05,50,0.274,4
VWC2L,0.00192545050604789,0.0958164642375169,1.48795239984746e-05,31,0.795,5
VWCE,0.00306097259935818,0.0274986779481756,1.73139310200522e-05,42,0.796,4
VWDE,0.00330782522833868,0.00768882858435097,3.45169222222247e-05,38,1.117,7
VWF,0.00153048629967909,0.0795698924731183,3.56761687482982e-06,27,0.593,18
VWFP1,4.93705257960997e-05,0,0,1,,1
WAC,0.00464082942483337,0.145962022420499,2.73304128171739e-05,75,0.084,58
WAPAL,0.00854110096272525,0.194918671864498,7.73728765059596e-05,111,0.112,83
WARS,0.00938039990125895,0.210637705374548,5.62469246460722e-05,123,0.492,76
WARS2,0.00197482103184399,0.411538461538462,1.56447391622832e-06,39,0.666,17
WAS,0.00360404838311528,0.138888888888889,8.1335451465917e-06,60,0.149,63
