pathway,reactome_id,n_genes,density,mean_loeuf,loeuf_variance,insularity,super_pathway,mean_paralog,mean_cds_length,clustering_score,mean_pubmed,regime,residual,mean_tau,mean_pli,complex_fraction
SLC-mediated transport of neurotransmitters,R-HSA-442660,21,0.0142857142857143,0.740190476190476,0.187351761904762,0.00445765230312036,Transport & Vesicles,20.3333333333333,1788,0.0142857142857143,12.9047619047619,Equilibrium,-0.00189094648801637,0.824817555088791,0.239355510947127,0
"Inactivation, recovery and regulation of the phototransduction cascade",R-HSA-2514859,33,0.0265151515151515,0.969818181818182,0.254885465909091,0.0125111706881144,Other,9.75757575757576,1495.54545454545,0.00189393939393939,30.5454545454545,Equilibrium,-0.00189150998184655,0.648167288055314,0.188865119991693,0.121212121212121
RET signaling,R-HSA-8853659,41,0.142682926829268,0.5475,0.144695435897436,0.0355029585798817,Other,8.73170731707317,1899.07317073171,0.0024390243902439,85.7804878048781,Equilibrium,-0.00190340467467863,0.460642431936781,0.461306321118396,0.414634146341463
rRNA modification in the nucleus and cytosol,R-HSA-6790901,63,0.203246753246753,0.676872727272727,0.158258705723906,0.0504269373288223,Other,3.39344262295082,1815.05,0.00269360269360269,96.0714285714286,Equilibrium,-0.00191511885729154,0.280134594149566,0.303371050616447,0.206349206349206
Mitotic Prometaphase,R-HSA-68877,204,0.0938408670367433,0.675056994818653,0.183333522776339,0.0775227654881751,Cell Cycle & DNA,6.50980392156863,2410.33004926108,0.00167314335060449,91.8307692307692,Equilibrium,-0.00195080328314792,0.448689643391959,0.355186424936038,0.450980392156863
Transport of Ribonucleoproteins into the Host Nucleus,R-HSA-168271,37,0.579310344827586,0.449933333333333,0.0743859954022989,0.0676691729323308,Other,1.625,3168,0,113.366666666667,Equilibrium,-0.00195396091583654,0.330022257993542,0.445187767913113,0.351351351351351
The phototransduction cascade,R-HSA-2514856,34,0.0267379679144385,0.958029411764706,0.251886817290553,0.0133868808567604,Other,9.58823529411765,1548.52941176471,0.0017825311942959,29.7352941176471,Equilibrium,-0.0022262452763533,0.641660864946734,0.183312973903702,0.117647058823529
Iron uptake and transport,R-HSA-917937,59,0.123319696084161,0.808677966101695,0.184774394506137,0.0370078049636061,Transport & Vesicles,4.93220338983051,1410.40677966102,0.000584453535943892,75.864406779661,Equilibrium,-0.00226882727831035,0.395717981704999,0.278845947575618,0.152542372881356
Keratan sulfate biosynthesis,R-HSA-2022854,29,0.0172413793103448,0.84575,0.20163012037037,0.00924092409240924,Metabolism,9.55172413793103,1395.62068965517,0.0132275132275132,7.55172413793104,Equilibrium,-0.00240769000366107,0.501497795481971,0.283119043005432,0
Sphingolipid de novo biosynthesis,R-HSA-1660661,37,0.0319327731092437,0.780472222222222,0.166299342063492,0.0100529100529101,Metabolism,3.91891891891892,1400.59459459459,0.00158730158730159,29.3142857142857,Equilibrium,-0.00250659675409046,0.406366070437998,0.251434659013652,0.135135135135135
Ion channel transport,R-HSA-983712,183,0.0263351749539595,0.767677595628415,0.185736900978803,0.0460325124738452,Transport & Vesicles,9.0327868852459,2607.49180327869,0.00240196961508437,35.292817679558,Equilibrium,-0.00257444924044378,0.565503362157623,0.266212762370995,0.0819672131147541
GRB2:SOS provides linkage to MAPK signaling for Integrins,R-HSA-354194,15,0.304761904761905,0.440333333333333,0.0553483809523809,0.0180129468055165,Signal Transduction,21.1333333333333,3145.2,0.0285714285714286,124.066666666667,Equilibrium,-0.00258876217556435,0.526380853234985,0.529445560000008,0.666666666666667
Regulated Necrosis,R-HSA-5218859,61,0.154761904761905,0.782140350877193,0.205758694235589,0.0258462826348559,Other,8.64406779661017,1197.50847457627,0.0087719298245614,157.508771929825,Equilibrium,-0.00267803649525213,0.360444374195442,0.366042146862216,0.524590163934426
Visual phototransduction,R-HSA-2187338,99,0.0122028192720387,0.972877551020408,0.229891283820745,0.0198698184309695,Other,10.2525252525253,2022.75757575758,0.00441826215022091,22.8571428571429,Equilibrium,-0.00271744748417869,0.652307647185702,0.182291806092805,0.0808080808080808
DNA Damage/Telomere Stress Induced Senescence,R-HSA-2559586,60,0.262108262108262,0.543555555555556,0.109937871794872,0.020671834625323,Signal Transduction,14.5666666666667,1311.45,0,199.62962962963,Equilibrium,-0.00288690381509612,0.398340320661373,0.537576146407449,0.366666666666667
Recognition of DNA damage by PCNA-containing replication complex,R-HSA-110314,30,0.335632183908046,0.686933333333333,0.219169926436782,0.0163320096202248,Cell Cycle & DNA,5.73333333333333,1619.2,0,189.866666666667,Equilibrium,-0.0029098547739448,0.328558041624264,0.38456847996133,0.866666666666667
CS-GAG biosynthesis,R-HSA-2022870,21,0.0333333333333333,0.753095238095238,0.15089549047619,0.0158910329171396,Metabolism,6.85714285714286,2432.85714285714,0,12.4285714285714,Equilibrium,-0.00298786638486053,0.513887512326978,0.186154527959585,0.0952380952380952
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,R-HSA-8862803,22,0.134199134199134,0.707909090909091,0.190406277056277,0.0069796240009006,Other,15.2727272727273,1437,0,128.136363636364,Equilibrium,-0.00300822413130889,0.402876817887998,0.372489609652712,0.409090909090909
Neurodegenerative Diseases,R-HSA-8863678,22,0.134199134199134,0.707909090909091,0.190406277056277,0.0069796240009006,Other,15.2727272727273,1437,0,128.136363636364,Equilibrium,-0.00300822413130889,0.402876817887998,0.372489609652712,0.409090909090909
RHO GTPases Activate Formins,R-HSA-5663220,140,0.0923577600718213,0.646804511278195,0.169018188767373,0.0485603021005428,Signal Transduction,9.22857142857143,2054.20714285714,0.00216450216450216,94.4402985074627,Equilibrium,-0.00307115543424399,0.472741873111437,0.428742410090358,0.514285714285714
Degradation of the extracellular matrix,R-HSA-1474228,140,0.0179334793035137,0.762079710144928,0.204730249074368,0.0372213806535382,Other,20.5142857142857,3097.84285714286,0.00476039352586481,22.5827338129496,Equilibrium,-0.0032455851557471,0.615547187723685,0.235290404629855,0.2
"Plasma lipoprotein assembly, remodeling, and clearance",R-HSA-174824,75,0.046279155868197,0.851150684931507,0.237280351978691,0.0206526228831062,Transport & Vesicles,7.30666666666667,2112.56,0.00555349870418364,62.1621621621622,Equilibrium,-0.0033051481039051,0.53896498649417,0.244365798183255,0.16
Interactions of Vpr with host cellular proteins,R-HSA-176033,43,0.394957983193277,0.480485714285714,0.069557668907563,0.0532216057071679,Other,5.37837837837838,2800.21621621622,0,114.714285714286,Equilibrium,-0.0034156171008309,0.323884037480248,0.46743065821124,0.325581395348837
Interferon gamma signaling,R-HSA-877300,99,0.0473385230380812,0.802063157894737,0.229995485330347,0.0239731500719195,Immune System,29.6224489795918,1518.28723404255,0.0223964165733483,60.734693877551,Equilibrium,-0.00347811235069496,0.477294842523723,0.33748354646781,0.232323232323232
